
1 	 12 	 3244536.67 
2 	  1 12 	 2788971.87 
3 	  1  4 12 	 2586982.54 
4 	  1  4 12 17 	 2492595.95 
5 	  1  4  6 12 17 	 2469934.66 
6 	  1  4  6 10 12 17 	 2453262.14 
7 	  1  4  6 10 12 17 20 	 2439106.29 
8 	  1  4  5  6 10 12 17 19 	 2430845.43 
9 	  1  4  5  6 10 12 17 19 20 	 2420708.48 
10 	  1  4  5  6  9 10 12 17 19 20 	 2418434.14 
11 	  1  4  5  6  8  9 10 12 17 19 20 	 2422004.18 
12 	  1  4  5  6  8  9 10 12 14 17 19 20 	 2427601.90 
13 	  0  1  4  5  6  8  9 10 12 14 17 19 20 	 2438530.19 
14 	  0  1  4  5  6  8  9 10 12 14 15 17 19 20 	 2454680.80 
15 	  0  1  4  5  6  7  8  9 10 12 14 15 17 19 20 	 2477462.55 
16 	  0  1  4  5  6  7  8  9 10 12 14 15 17 19 20 22 	 2526711.46 
17 	  0  1  4  5  6  7  8  9 10 12 14 15 17 18 19 20 22 	 2582987.15 
18 	  0  1  4  5  6  7  8  9 10 12 14 15 17 18 19 20 22 23 	 2641854.72 
19 	  0  1  2  4  5  6  7  8  9 10 12 14 15 17 18 19 20 22 23 	 2741585.05 
20 	  0  1  2  4  5  6  7  8  9 10 12 14 15 17 18 19 20 22 23 24 	 2885216.71 
21 	  0  1  2  4  5  6  7  8  9 10 12 13 14 15 17 18 19 20 22 23 24 	 3049176.06 
22 	  0  1  2  3  4  5  6  7  8  9 10 12 13 14 15 17 18 19 20 22 23 24 	 3366556.64 
23 	  0  1  2  3  4  5  6  7  8  9 10 12 13 14 15 17 18 19 20 21 22 23 24 	 3813269.56 
24 	  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 17 18 19 20 21 22 23 24 	 4406445.54 
25 	  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 	 5913745.52 
